team_id,abbreviation,nickname,yearfounded,city,arena,headcoach
1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,Quin Snyder
1610612741,CHI,Bulls,1966,Chicago,United Center,Billy Donovan
1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,Jason Kidd
1610612743,DEN,Nuggets,1976,Denver,Ball Arena,Michael Malone
1610612744,GSW,Warriors,1946,Golden State,Chase Center,Steve Kerr
1610612745,HOU,Rockets,1967,Houston,Toyota Center,Ime Udoka
1610612746,LAC,Clippers,1970,Los Angeles,Crypto.com Arena,Tyronn Lue
1610612747,LAL,Lakers,1948,Los Angeles,Crypto.com Arena,Darvin Ham
1610612748,MIA,Heat,1988,Miami,Kaseya Center,Erik Spoelstra
1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,Adrian Griffin
1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,Chris Finch
1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,Jacque Vaughn
1610612754,IND,Pacers,1976,Indiana,Gainbridge Fieldhouse ,Rick Carlisle
1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,Nick Nurse
1610612756,PHX,Suns,1968,Phoenix,Footprint Center,Frank Vogel
1610612757,POR,Trail Blazers,1970,Portland,Moda Center,Chauncey Billups
1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,Mike Brown
1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,Gregg Popovich
1610612760,OKC,Thunder,1967,Oklahoma City,Paycom Center,Mark Daigneault
1610612761,TOR,Raptors,1995,Toronto,Scotiabank Arena,Darko Rajakovic
1610612762,UTA,Jazz,1974,Utah,Delta Center,Will Hardy
1610612763,MEM,Grizzlies,1995,Memphis,FedExForum,Taylor Jenkins
1610612764,WAS,Wizards,1961,Washington,Capital One Arena,Wes Unseld
1610612765,DET,Pistons,1948,Detroit,Little Caesars Arena,Monty Williams
1610612766,CHA,Hornets,1988,Charlotte,Spectrum Center,Steve Clifford
1610612738,BOS,Celtics,1946,Boston,Massachusetts,Joe Mazzulla
1610612739,CLE,Cavaliers,1970,Cleveland,Rocket Mortgage FieldHouse,JohnBlair Bickerstaff
1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,Willie Green
1610612752,NYK,Knicks,1946,New York,Madison Square Garden,Tom Thibodeau
1610612753,ORL,Magic,1989,Orlando,Kia Center,Jamahl Mosley
